FP,f1,C,TN,target,solver,timestamp,MCC,TP,log_loss,roc50,random_state,accuracy,classifier,FN,class_weight,probability,kernel,classifier_arguments,coef0,degree,batch_num,rocNOT50,gamma,TNR,TPR,bagging,bedroc,cv1_folds,cv2_folds,sample,criterion,max_depth,n_estimators,n_jobs
1,0.0,,137,f1,,02:44 07-25,,0,5.08430881230766,0.8478260869565217,1163502,0.9647887323943662,RandomForestClassifier,4,balanced_subsample,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 1163502, 'criterion': 'entropy', 'max_depth': 40, 'class_weight': 'balanced_subsample'}",,,353,0.8478260869565217,,0.9927536231884058,0.0,False,4.124922516693497e-09,5,5,False,entropy,40,20,-1
7,0.0,,131,f1,,02:51 07-25,,0,1.2220580935986765,0.9293478260869564,2694175,0.9225352112676056,RandomForestClassifier,4,balanced_subsample,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 2694175, 'criterion': 'gini', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",,,353,0.9293478260869564,,0.9492753623188406,0.0,False,1.1737859799365872e-08,5,5,False,gini,20,20,-1
0,0.0,1,139,f1,,02:51 07-25,,0,1.4905434696538387,0.9366906474820145,5900368,0.9652777777777778,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 5900368, 'coef0': 0, 'class_weight': 'balanced'}",0,2,353,0.9366906474820145,,1.0,0.0,False,1.760419347635722e-08,5,5,False,,,,
0,0.0,1,139,f1,,02:51 07-25,,0,1.5088591097679491,0.8474820143884891,168862,0.9652777777777778,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 168862, 'coef0': 0, 'class_weight': 'balanced'}",0,2,353,0.8474820143884891,,1.0,0.0,False,2.9727634500422384e-07,5,5,False,,,,
1,0.0,0.5,138,f1,,02:52 07-25,,0,2.0920655827071117,0.41546762589928055,7778476,0.965034965034965,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 0.5, 'degree': 2, 'probability': True, 'random_state': 7778476, 'coef0': 0, 'class_weight': 'balanced'}",0,2,353,0.41546762589928055,,0.9928057553956835,0.0,False,0.4951493794770075,5,5,False,,,,
0,0.0,1,138,f1,,02:52 07-25,,0,1.3717072032717041,0.792572463768116,7536584,0.971830985915493,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 7536584, 'coef0': 0, 'class_weight': 'balanced'}",0,2,353,0.792572463768116,,1.0,0.0,False,0.00017476915878959965,5,5,False,,,,
0,0.0,1,138,f1,,02:52 07-25,,0,1.2282065210704176,0.9112318840579711,2056781,0.971830985915493,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 2056781, 'coef0': 0, 'class_weight': 'balanced'}",0,2,353,0.9112318840579711,,1.0,0.0,False,5.992695182798771e-08,5,5,False,,,,
1,0.0,0.5,138,f1,,02:52 07-25,,0,0.8420135196388369,0.9575539568345324,5292178,0.9583333333333334,SVC,5,balanced,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 5292178, 'gamma': 0.2, 'class_weight': 'balanced'}",,,353,0.9575539568345324,0.2,0.9928057553956835,0.0,False,8.941667336838966e-09,5,5,False,,,,
1,0.5685071574642128,1,138,f1,,02:52 07-25,,2,0.6809149842815648,0.9805755395683453,4669856,0.9722222222222222,SVC,3,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 4669856, 'gamma': 0.2, 'class_weight': 'balanced'}",,,353,0.9805755395683453,0.2,0.9928057553956835,0.4,False,2.708006710767245e-09,5,5,False,,,,
0,0.0,1,139,f1,,02:52 07-25,,0,1.4087080373385021,0.8561151079136691,3874666,0.972027972027972,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 3874666, 'gamma': 0.7, 'class_weight': 'balanced'}",,,353,0.8561151079136691,0.7,1.0,0.0,False,1.3875302450278786e-06,5,5,False,,,,
1,0.0,0.5,137,f1,,02:52 07-25,,0,1.6401125620233834,0.7391304347826088,8902912,0.9647887323943662,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 8902912, 'gamma': 0.2, 'class_weight': 'balanced'}",,,353,0.7391304347826088,0.2,0.9927536231884058,0.0,False,0.0647846791663185,5,5,False,,,,
0,0.0,1,138,f1,,02:52 07-25,,0,1.454346127090671,0.9003623188405797,1653406,0.971830985915493,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 1653406, 'gamma': 0.02, 'class_weight': 'balanced'}",,,353,0.9003623188405797,0.02,1.0,0.0,False,4.816429886454291e-08,5,5,False,,,,
