FP,f1,probability,kernel,classifier_arguments,FN,class_weight,TP,TN,random_state,coef0,accuracy,C,degree,batch_num,timestamp,log_loss,target,rocNOT50,roc50,classifier,gamma,bedroc,TNR,TPR,bagging,cv1_folds,cv2_folds,sample,criterion,max_depth,n_estimators,n_jobs
2,0.7082152974504249,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 1286254, 'gamma': 0.02, 'class_weight': 'balanced'}",4,balanced,5,148,1286254,,0.9622641509433962,1,,5708,12:11 07-25,0.4964605299555279,f1,0.9711111111111111,0.9711111111111111,SVC,0.02,1.57336117166379e-08,0.9866666666666667,0.5555555555555556,False,5,5,False,,,,
2,0.39577836411609496,True,rbf,"{'kernel': 'rbf', 'C': 0.1, 'probability': True, 'random_state': 1933937, 'gamma': 0.02, 'class_weight': 'balanced'}",6,balanced,2,148,1933937,,0.9493670886075949,0.1,,5708,12:11 07-25,1.0964796211414303,f1,0.9133333333333333,0.9133333333333333,SVC,0.02,5.228543635880889e-07,0.9866666666666667,0.25,False,5,5,False,,,,
0,0.5454545454545454,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 5984105, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,3,150,5984105,,0.9683544303797469,1,,5708,12:12 07-25,1.1424675595135598,f1,0.8116666666666668,0.8116666666666668,SVC,0.02,6.445783719456446e-05,1.0,0.375,False,5,5,False,,,,
0,0.6666666666666666,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 2997464, 'gamma': 0.02, 'class_weight': 'balanced'}",4,balanced,4,150,2997464,,0.9746835443037974,1,,5708,12:12 07-25,0.6861900657663365,f1,0.9266666666666666,0.9266666666666666,SVC,0.02,9.623400887761735e-06,1.0,0.5,False,5,5,False,,,,
3,0.2183406113537118,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 8355067, 'gamma': 0.02, 'class_weight': 'balanced'}",7,balanced,1,147,8355067,,0.9367088607594937,1,,5708,12:12 07-25,1.0700667737168232,f1,0.9354166666666667,0.9354166666666667,SVC,0.02,3.5996457263185376e-08,0.98,0.125,False,5,5,False,,,,
5,0.4878048780487804,,,"{'n_jobs': -1, 'n_estimators': 100, 'random_state': 5940945, 'criterion': 'gini', 'max_depth': 60, 'class_weight': 'balanced_subsample'}",6,balanced_subsample,3,145,5940945,,0.9308176100628931,,,353,12:23 07-25,2.4964583410676493,f1,0.8718518518518519,0.8718518518518519,RandomForestClassifier,,4.29630632436746e-07,0.9666666666666667,0.3333333333333333,False,5,5,False,gini,60,100,-1
4,0.2170767004341534,,,"{'n_jobs': -1, 'n_estimators': 40, 'random_state': 1276340, 'criterion': 'gini', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",7,balanced_subsample,1,146,1276340,,0.930379746835443,,,353,12:32 07-25,2.869167200586254,f1,0.8875,0.8875,RandomForestClassifier,,2.455197058959244e-08,0.9733333333333334,0.125,False,5,5,False,gini,20,40,-1
2,0.6607929515418502,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 6463337, 'criterion': 'gini', 'max_depth': 80, 'class_weight': 'balanced_subsample'}",4,balanced_subsample,4,148,6463337,,0.9620253164556962,,,353,12:41 07-25,0.6079574988223376,f1,0.9566666666666667,0.9566666666666667,RandomForestClassifier,,2.348694388768123e-08,0.9866666666666667,0.5,False,5,5,False,gini,80,20,-1
5,0.38961038961038963,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 3749467, 'criterion': 'gini', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",6,balanced_subsample,2,145,3749467,,0.930379746835443,,,353,12:50 07-25,0.7610169184218537,f1,0.9445833333333333,0.9445833333333333,RandomForestClassifier,,1.8096009703201877e-08,0.9666666666666667,0.25,False,5,5,False,gini,20,20,-1
3,0.6578947368421052,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 5155903, 'criterion': 'gini', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",4,balanced_subsample,4,147,5155903,,0.9556962025316456,,,353,12:58 07-25,4.595741793627701,f1,0.8441666666666667,0.8441666666666667,RandomForestClassifier,,1.9854488878633202e-08,0.98,0.5,False,5,5,False,gini,20,20,-1
3,0.19646365422396855,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 8535311, 'coef0': 0.5, 'class_weight': 'balanced'}",8,balanced,1,147,8535311,0.5,0.9308176100628931,1,2,353,12:58 07-25,1.3779878023326426,f1,0.8770370370370371,0.8770370370370371,SVC,,2.8248981327764245e-06,0.98,0.1111111111111111,False,5,5,False,,,,
0,0.0,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 9222610, 'coef0': 0, 'class_weight': 'balanced'}",8,balanced,0,150,9222610,0,0.9493670886075949,1,2,353,12:58 07-25,1.2811878267699501,f1,0.7483333333333333,0.7483333333333333,SVC,,0.3512534189293532,1.0,0.0,False,5,5,False,,,,
1,0.22091310751104565,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 2811530, 'coef0': 0.5, 'class_weight': 'balanced'}",7,balanced,1,149,2811530,0.5,0.9493670886075949,1,2,353,12:58 07-25,1.118652611675343,f1,0.91,0.91,SVC,,6.148034061223502e-07,0.9933333333333333,0.125,False,5,5,False,,,,
1,0.22091310751104565,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 5726995, 'coef0': 0.5, 'class_weight': 'balanced'}",7,balanced,1,149,5726995,0.5,0.9493670886075949,1,2,353,12:58 07-25,1.3185985247820236,f1,0.8495833333333334,0.8495833333333334,SVC,,1.616781307978182e-06,0.9933333333333333,0.125,False,5,5,False,,,,
0,0.2222222222222222,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 8520840, 'coef0': 0.5, 'class_weight': 'balanced'}",7,balanced,1,150,8520840,0.5,0.9556962025316456,1,2,353,12:58 07-25,0.9798587642846712,f1,0.94875,0.94875,SVC,,2.1773343437443213e-07,1.0,0.125,False,5,5,False,,,,
1,0.0,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 9204556, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,149,9204556,,0.9371069182389937,1,,353,12:58 07-25,1.0916550163936867,f1,0.9288888888888889,0.9288888888888889,SVC,0.02,2.1209688869929607e-06,0.9933333333333333,0.0,False,5,5,False,,,,
1,0.3978779840848806,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 2526614, 'gamma': 0.02, 'class_weight': 'balanced'}",6,balanced,2,149,2526614,,0.9556962025316456,1,,353,12:58 07-25,1.2373011199254842,f1,0.8125,0.8125,SVC,0.02,6.897280952070496e-05,0.9933333333333333,0.25,False,5,5,False,,,,
3,0.5376344086021506,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 8947693, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,3,147,8947693,,0.9493670886075949,1,,353,12:58 07-25,0.7547342117739483,f1,0.9629166666666666,0.9629166666666666,SVC,0.02,1.9093208306079397e-08,0.98,0.375,False,5,5,False,,,,
2,0.21961932650073204,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 6114271, 'gamma': 0.2, 'class_weight': 'balanced'}",7,balanced,1,148,6114271,,0.9430379746835443,1,,353,12:59 07-25,0.826823165292079,f1,0.8875,0.8875,SVC,0.2,4.9885005632837886e-05,0.9866666666666667,0.125,False,5,5,False,,,,
0,0.6666666666666666,True,rbf,"{'kernel': 'rbf', 'C': 0.1, 'probability': True, 'random_state': 8784468, 'gamma': 0.02, 'class_weight': 'balanced'}",4,balanced,4,150,8784468,,0.9746835443037974,0.1,,353,12:59 07-25,0.7164375847930806,f1,0.9025,0.9025,SVC,0.02,2.3436638909454474e-05,1.0,0.5,False,5,5,False,,,,
