smiles,fingerprints,LXRbeta binder
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.56497977184193, 5.448345254445673, 3.983107565558305, 7.393535748944037, 3.877953996240879, 4.716661888398317, 3.632294067813799, 4.762476934972289, 4.4914872676434685, 7.419796026953982, 3.331520205318941, 8.046836629966023, 5.373994981292306, 4.407604481278842, 3.646540717322668, 4.761586863860801, 4.7317421092342595, 4.303273429679967, 6.252111434991099, 4.071653300853322, 4.760019120064561, 3.5324616595537175, 4.365109373694585, 3.3245593918493705, 3.845254773671214, 4.780712299562937, 4.049761484784265, 6.210604289758947, 3.6015194208545678, 5.432693881682197, 6.153107088581551, 4.3708124888002065, 3.4549363778100655, 3.574533452471848, 4.272495959730368, 4.396359672912038, 7.344484029803432, 3.7094871884616643, 3.4514066262613423, 3.3474558022948697, 4.112760780202694, 6.545769203341231, 3.8682700277787387, 3.949043968203214, 7.31442666175736, 5.090070193318422, 4.89453197036006, 5.122605511032071, 4.604437344259703, 7.302807280531832]",1.0
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(O)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.616184943465351, 5.405882353354684, 4.063190709644218, 6.96329599711512, 3.9526912067228146, 4.795069861038835, 3.735890087833634, 4.84523840858933, 4.591957743925882, 7.102817145821007, 3.4162025885663807, 7.415255188077198, 5.329786202066021, 4.405617671609037, 3.7411058275718467, 4.794883313991781, 4.828793517917064, 4.405364464135661, 6.154753617596076, 4.18365475827871, 4.871087988566825, 3.635811966586198, 4.430333643979733, 3.4283929413013805, 3.9283598256840695, 4.803752030605251, 4.120205794315484, 6.1316099228141825, 3.6971013565914674, 5.363625494071636, 5.950619401214597, 4.47428302601713, 3.5598174556437883, 3.6560396612369774, 4.343450621921581, 4.467973884152272, 7.107216833845415, 3.8006187329748484, 3.5600443809320614, 3.4440768604110126, 4.170492941340515, 6.351220020365856, 3.9531553382850397, 4.041151839844733, 6.924234575741184, 5.107345891119085, 5.0007189474702916, 5.206398689708232, 4.713247431175253, 7.009976894763233]",1.0
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.63453237583288, 5.421186714918792, 4.098270400299576, 7.044150371511229, 3.975938114196768, 5.043866040563469, 3.84469155190029, 5.108483371635367, 4.815554054100486, 7.169839310741971, 3.477155305282846, 7.45005001870876, 5.354865237377346, 4.494966130325997, 3.861290241680558, 4.806394690746203, 5.078678162972356, 4.607814880801765, 6.165596624403029, 4.359440422018682, 5.111679901286834, 3.7383439733582255, 4.456123115564864, 3.514923773385777, 3.9699650764260133, 4.815812645157596, 4.14128975034188, 6.142300923850416, 3.812001373152638, 5.533903226393656, 5.990118557760674, 4.683143414925216, 3.6586391279857797, 3.6852509265798954, 4.3704562730249785, 4.673244658176327, 7.159029576669998, 3.8417187343155823, 3.6604576594914944, 3.5032192945386442, 4.246057743006005, 6.397855291149344, 3.984173944144928, 4.193441251730038, 6.97445690473519, 5.142420984271787, 5.2577384459659005, 5.494179468095439, 4.952091245910504, 7.083198718585987]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.534899775309871, 5.47998355943452, 3.9081913568903186, 7.387149741998736, 3.8156639366549636, 4.5226408246853635, 3.437538052012846, 4.560131198569293, 4.282973237495192, 7.435306163084679, 3.2030693373804557, 8.089397710390715, 5.389799652771025, 4.3048798462433195, 3.4808516430104346, 4.752996377941086, 4.512111271760842, 4.1056403435338185, 6.312441320666905, 3.8554180830485376, 4.515971701835079, 3.3388482700459994, 4.311296941688924, 3.1586723913500343, 3.7569050693470456, 4.776771581391633, 4.002077995174767, 6.2660809446779275, 3.407341904107263, 5.302198392524111, 6.169138357169883, 4.166863777077771, 3.2894726884977903, 3.494922454249827, 4.216519575329091, 4.22304101574956, 7.377899046536198, 3.6122555896239605, 3.2778451788998906, 3.2161944072545197, 4.006567013225868, 6.560947341956052, 3.789086061033171, 3.7726508089956248, 7.336405147532748, 5.0818760200114355, 4.641132548799764, 4.885892950249633, 4.363361272776177, 7.310680120005319]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.614696449348757, 5.458225532332028, 4.0347570023452635, 7.0395519139792215, 3.9246773959751344, 4.833310360759828, 3.649791252041825, 4.8861888210624995, 4.593322597001144, 7.188082941620797, 3.355962388211254, 7.495962756414775, 5.376322665898056, 4.397278715857555, 3.692799957817988, 4.807055705454789, 4.840815270462249, 4.398163416569388, 6.2304134940222315, 4.13143391359738, 4.849464638859372, 3.5451586349431277, 4.413060823802566, 3.3518239204138567, 3.8923889339847446, 4.8202590141978625, 4.10519482117088, 6.203219901173017, 3.615903813185895, 5.4000485772303, 6.010809715086156, 4.46651861527724, 3.493986468253718, 3.616110027179818, 4.3255980938428165, 4.489964013616629, 7.195860942147689, 3.755271714244813, 3.4874404074648693, 3.37976365042835, 4.146587624676936, 6.417702109406404, 3.9162722889736417, 4.009940610726087, 6.999129691976826, 5.141147391501409, 4.982782646348118, 5.234171973626427, 4.691787751782034, 7.093818633706215]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.469146036985358, 5.526020397209641, 3.7822734488551726, 7.385341501464083, 3.7078632961679796, 4.348489084388247, 3.25154602199797, 4.377683564413992, 4.102697232476593, 7.475898671231764, 3.0589175816270875, 8.182191939765016, 5.389186698370743, 4.164798272337449, 3.321107743181109, 4.7126822791343015, 4.321128618648381, 3.9317295852193492, 6.448703861700649, 3.6679846800074216, 4.311372901908408, 3.156501735801734, 4.219912164042874, 2.988172547820914, 3.6206895531477596, 4.74970272893397, 3.903527400202779, 6.385905120662475, 3.238730398775358, 5.145326565845013, 6.187159475412141, 3.9857554433031175, 3.1185508312394643, 3.3701451547477044, 4.1213587567228425, 4.059033910303614, 7.433365839432509, 3.470930461761916, 3.106304591300905, 3.0609551706418707, 3.8640489694142115, 6.579596771812456, 3.66771075471957, 3.606444785045427, 7.380172056093405, 5.053546965612493, 4.4328439998391, 4.680731590365052, 4.160110401754256, 7.3160024381543405]",1.0
CCCc1c(Oc2ccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.3815321999797625, 5.304821734409817, 3.7599023025256266, 6.807566137812385, 3.675378721207051, 4.373506867910955, 3.302537241738558, 4.4089910694853796, 4.149874107559734, 6.986781421296205, 3.0908221423873323, 7.354935032926852, 5.195440817660519, 4.099916814665401, 3.3661717013268753, 4.5966172207793825, 4.368075039100978, 3.9825197167849, 6.130731116558369, 3.72491680507187, 4.368968025127599, 3.209489401214172, 4.16140347088426, 3.0382906985025526, 3.607992948488132, 4.619726358787149, 3.854273777183731, 6.087735810872758, 3.28672559278331, 5.015511271359261, 5.832358579363409, 4.0387753165223135, 3.1660617917245095, 3.361435454354927, 4.0699413148525885, 4.083327985763634, 7.003804905656959, 3.4737073942923273, 3.1592991789357923, 3.092529675680894, 3.8559059847585035, 6.221316373017515, 3.650216661642541, 3.6479017753364955, 6.817163443207761, 4.93355155348646, 4.485837653286768, 4.716260468214712, 4.218796215124896, 6.8606527083861]",1.0
CCCc1c(Oc2ccc(cc2)C(=O)CN2C(=O)NC(C)(C2=O)c2ccc(OC(C)C)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.54248985555062, 5.3995401210839535, 3.951786130016445, 6.929021615846491, 3.852055601779541, 4.645659292703651, 3.573585319222018, 4.691412115966034, 4.435309319888462, 7.091105464657263, 3.2927592307812983, 7.435121709004825, 5.29918115022649, 4.291350098305881, 3.602984493568447, 4.7385265155937475, 4.666674346734512, 4.254887487314957, 6.201454226994856, 4.0194991212597735, 4.694263060867706, 3.475423623012863, 4.338077102377444, 3.2809028880637587, 3.810197061202702, 4.755502346720426, 4.027054818052225, 6.165156713197801, 3.545903779233121, 5.238163420417838, 5.930717571671672, 4.318786091715446, 3.411783066064783, 3.543102311390059, 4.250084739544327, 4.330983108765545, 7.104091855145146, 3.6780637445933086, 3.410457354011385, 3.310698898682774, 4.052947158071886, 6.32913232145775, 3.8419897392434965, 3.8991905140435317, 6.91194786244438, 5.058856309456351, 4.82056719319163, 5.035145899672146, 4.538605750071269, 6.977800481117951]",1.0
CCCc1c(Oc2cccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.355468688008024, 5.219094395579499, 3.76010472176876, 6.761011067783871, 3.673207232759754, 4.432901912644922, 3.338992373803268, 4.468520217536549, 4.207620321991921, 6.912291524816565, 3.1191506022847335, 7.249790693331849, 5.141903771988263, 4.128590310401156, 3.4030178504067288, 4.55685712767388, 4.429180139367059, 4.0352626350998095, 5.9884503692595885, 3.7755910425076333, 4.430298203585577, 3.246082863528539, 4.144108473745749, 3.0730818574737264, 3.616130290886633, 4.57540125697589, 3.8471673771188213, 5.954616502233181, 3.322953669447546, 5.055327136176608, 5.7712646476079374, 4.093013576172206, 3.201561627064622, 3.3694471169595315, 4.058424738497714, 4.134067343518715, 6.916571943327505, 3.485343547271335, 3.1980415879335418, 3.118667177874193, 3.8819484922942475, 6.1558429972939965, 3.65232887982035, 3.68999076748446, 6.739995106834688, 4.89106037598798, 4.55112528073837, 4.783383395181472, 4.280513475265459, 6.805233292685554]",1.0
CCCc1c2COC(c2ccc1OCCCCN1C(=O)N(C)C(C)(C)C1=O)(C(F)(F)F)C(F)(F)F,"[2.8263912403279052, 3.2857958791114634, 2.588738174729438, 6.656935622204928, 2.4893650990341962, 3.9625226111371292, 2.6158059557567666, 4.070441081451284, 3.5647759577066074, 5.682895212160421, 2.290058037843564, 7.258905101325034, 3.4131148864267784, 3.2543294933865026, 2.737398312800758, 2.8972815174405224, 3.8613721533460126, 3.399145940299062, 3.7621578766580916, 3.081340275662546, 3.7861214038851316, 2.5472177586778812, 2.746998953430925, 2.336796604669832, 2.554673388096865, 2.9073176667586984, 2.5985834608372422, 3.7582333929792595, 2.6430284748028017, 4.710623823417651, 4.29508979121205, 3.4248852781648744, 2.4356432726464656, 2.3520510123818843, 2.7036059207777465, 3.5658270867151876, 5.141198207794112, 2.445948962450614, 2.444768594458536, 2.273388548003125, 2.8767513685175654, 4.593687975583259, 2.512935058362485, 3.0362133906162674, 5.7560698999086215, 3.196990607947707, 3.9873102730142413, 4.362848817177968, 3.6625883237415993, 5.643832254160383]",1.0
