Compound ID,LXRbeta binder,smiles
MOL1_3,0,CCN(c1cccc(c1)F)S(=O)(=O)c2cccc(c2)n3cnnn3
6_26,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)C1=O)C(F)(F)F
6_32,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC)cc1)C(F)(F)F
4_58,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(CC)(C1=O)c1ccc2OCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
4_60,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(CC)(C1=O)c1ccc2OCCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
7_32b,0,COc1ccc(CCc2cc(ccc2)N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
MOL5_2,0,c1ccc(cc1)C[C@@H](c1ccccc1)Nc1ccc2nnnn2n1
MOL5,0,n1nc(C)oc1[C@@H](C)Nc1cc(c(cc1)OCc1cnccc1)Cl
7_29b,1,COc1ccc(CCc2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
7_26a,0,Clc1cc2c(cc1)C(=O)N(C2=O)c1ccccc1CCc1ccccc1
MOL7_2,0,c1ccc(cc1)[C@@H](CCn1cncn1)Nc1ccc2cc[nH]c2n1
4_6a,1,CCCc1cc(ccc1OCCCCN1C(=O)N(C)C(C)(C)C1=O)C(O)(C(F)(F)F)C(F)(F)F
6_23,0,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1CCCC1=O)C(F)(F)F
MOL4_3,0,c1ccc(c(c1)CNc2nccc(n2)CCC(F)(F)F)n3cncn3
MOL1_2,0,CC[C@@H](c1ncnn1CC)Nc1cc(nc2n1ncc2)c1ccccc1
6_25,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)N(C)C(C)(C)C1=O)C(F)(F)F
6_22,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1CCOC1=O)C(F)(F)F
5_49c,1,CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
5_44b,1,CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
7_24b,1,COc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
MOL9_3,0,CN(c1ccc(cn1)Cl)S(=O)(=O)Cc2cc(ccc2F)C#N
4_67,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)c1ccccc1)C(O)(C(F)(F)F)C(F)(F)F
7_26b,0,COc1ccc(CCc2ccccc2N2C(=O)c3c(cc(Cl)cc3)C2=O)cc1
7_24h,0,CC(C)(C)c1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
MOL1,0,c1c(O[C@@H](C)CNc2nncc(n2)c2c(cccc2)F)cccn1
4_41,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(C)cc1)C(O)(C(F)(F)F)C(F)(F)F
7_25b,0,COc1ccc(CCc2ccccc2N2C(=O)c3c(cccc3)C2=O)cc1
4_6b,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC)cc1)C(O)(C(F)(F)F)C(F)(F)F
4_5b,1,CCCc1c2COC(c2ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC)cc1)(C(F)(F)F)C(F)(F)F
4_4a,1,CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2C(CCOc12)C(F)(F)F
4_5a,1,CCCc1c2COC(c2ccc1OCCCCN1C(=O)N(C)C(C)(C)C1=O)(C(F)(F)F)C(F)(F)F
MOL3_2,0,c1cc(cnc1)CNc1cc(c2cc[nH]c2n1)c1cc(ccn1)CO
6_45,1,CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc3OCOc3c2)ccc2c(cc(=O)oc12)C(F)(F)F
4_45,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC)c(OC)c1)C(O)(C(F)(F)F)C(F)(F)F
MOL2,0,c1(cccc(n2ncc(CN(C)Cc3c4c(ccc3)non4)c2)c1)OC
7_24e,1,Cc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
7_30b,0,COc1ccc(CCc2ccccc2N2C(=O)c3c(C2=O)c(F)c(F)c(F)c3F)cc1
7_24c,1,COc1c(OC)cc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
6_40,1,CCCc1c(OCCCCN2C(=O)CN(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F
MOL9,0,Cc1c(cc(cc1)NCc1nc(oc1)c1ccccc1)n1nnnc1
7_25c,0,COc1c(OC)cc(CCc2ccccc2N2C(=O)c3c(cccc3)C2=O)cc1
5_49b,1,CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
7_24g,0,CCCCc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
2_29,1,CC(C)S(=O)(=O)c1cccc(Oc2cccc(c2)c2c(cnc3c(cccc23)C(F)(F)F)C(=O)N)c1
6_41,1,CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F
4_61,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OCC)cc1)C(O)(C(F)(F)F)C(F)(F)F
MOL4_2,0,c1cc(ncc1Cl)c1cc(nc2c1cc[nH]2)NCc1ccncc1
4_50,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc2OCCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
5_34b,1,CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
