smiles,fingerprints,LXRbeta binder
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.600214697977552, 5.442706838194292, 4.029839267608053, 7.141903177478506, 3.9200034175551624, 4.762722135345717, 3.6847758344077324, 4.81258760247441, 4.545048036306881, 7.234997653330188, 3.373984174763069, 7.691998847574051, 5.355153238165578, 4.411548377006942, 3.689884319834476, 4.790148227039717, 4.785241704950566, 4.352927389545348, 6.22308852009834, 4.127727209175895, 4.817441337572713, 3.5843056277661676, 4.406554371797686, 3.376238833184369, 3.8929777423769014, 4.805074131155036, 4.090969591525302, 6.186070935671609, 3.648066185037765, 5.407179144299542, 6.037411219881927, 4.4228584540446185, 3.507489676797083, 3.6182068524459794, 4.3154777889921005, 4.438009011195654, 7.212937632968356, 3.7597601677408785, 3.504394244121447, 3.3966404280388955, 4.143265715701886, 6.430765901630409, 3.9146893553957796, 3.994053912215012, 7.088149305568244, 5.097894520584166, 4.953394912026252, 5.178422390709496, 4.66395443425775, 7.130845506464484]",1.0
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(O)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.612971260753017, 5.444762683783045, 4.036370131950723, 7.137287022738403, 3.9317668747624674, 4.756109150853134, 3.6841955449342323, 4.802195816729011, 4.54051901228699, 7.231763061916402, 3.3773622717085807, 7.690424400698973, 5.355066800981116, 4.406422582653123, 3.68928893655472, 4.80161146599436, 4.775728237827469, 4.348261216783769, 6.2241188249874275, 4.123992818103178, 4.809536721619812, 3.5856134006228295, 4.417287077290602, 3.3776991509570653, 3.8989204779742237, 4.816308243677519, 4.102441126174776, 6.188930549917695, 3.651815337467753, 5.395537535880337, 6.035543161394822, 4.416612511574739, 3.507591121942783, 3.628245211037296, 4.326783519239623, 4.428454328966189, 7.210034877004595, 3.766109684035611, 3.505670431207389, 3.401170200208457, 4.140309147421596, 6.4284514294458015, 3.925783619727441, 3.989859090093752, 7.085478930419718, 5.098786274752039, 4.9450709365302625, 5.163817959794869, 4.655804096846642, 7.126115729773599]",1.0
CCCc1c(Oc2ccc(C(=O)CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.627567527754539, 5.456588240415468, 4.0677813097123545, 7.220121444885124, 3.9513976170369753, 5.012309210209031, 3.7919594261217098, 5.073813493173369, 4.768863628838895, 7.299468530171409, 3.4365939157396683, 7.724514033865283, 5.377894480057649, 4.495295850941364, 3.8088585804673425, 4.809370678413139, 5.03186156589695, 4.553830249636752, 6.230965959247525, 4.302099048921895, 5.055364397860027, 3.6868620494477744, 4.4394128057022675, 3.462565215820139, 3.9371982929826395, 4.824762039262406, 4.119784046893125, 6.195543503927928, 3.766209945543306, 5.569042189729581, 6.074231561436461, 4.629048243318681, 3.6052218049700815, 3.654064056550548, 4.350132686538363, 4.637417972787488, 7.261291755741149, 3.803879818499963, 3.6049245600421216, 3.457743538838719, 4.214584376192603, 6.474312015188929, 3.953334906324269, 4.1430474814119735, 7.1361019128299406, 5.131397470770685, 5.2091444712419275, 5.46167762033489, 4.900565678648972, 7.199978789656585]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.570062026106928, 5.472217078353051, 3.955658826878138, 7.133598546120373, 3.8583414093682658, 4.569718185046743, 3.4911438131776222, 4.611340900875835, 4.337600005833284, 7.247983637495736, 3.246413731925019, 7.731526125789477, 5.369231242635153, 4.30926376845388, 3.5250374631954595, 4.7810464368613665, 4.566797112821915, 4.15634406401835, 6.280061057091809, 3.912850627836299, 4.5747127296416386, 3.391717976919563, 4.3530104090019455, 3.211496695328141, 3.8054945639137028, 4.800463848521383, 4.04381327219049, 6.238408610700233, 3.454792803427752, 5.2772241174978625, 6.05140329181566, 4.220024586094622, 3.3431922052899554, 3.5393206753216053, 4.259938335692808, 4.265524506643802, 7.243536583005452, 3.663507695344705, 3.3320079180955897, 3.2665130172303884, 4.037632608973689, 6.443828685304082, 3.8362916980232384, 3.818564021169384, 7.107540647749034, 5.088549490527232, 4.701424612093838, 4.942926716133905, 4.424341709982276, 7.1365599084813045]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(OC)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.607515514623862, 5.495822745540692, 4.003179010838461, 7.214762041885802, 3.898866524532637, 4.802498847473962, 3.596557998680625, 4.85183970541194, 4.547229351437764, 7.317534507769725, 3.3142270036789427, 7.770768083404584, 5.399515369609232, 4.396738286892446, 3.640992346103972, 4.810231393551841, 4.794833543813922, 4.345336942244403, 6.2995087734087, 4.074359771216287, 4.7939521133619625, 3.4932492594614226, 4.395835550153633, 3.298913863553934, 3.8581114369396134, 4.829708818623399, 4.08250678203214, 6.259751045250414, 3.5699498809769077, 5.435208781132511, 6.094636102617159, 4.413318766950711, 3.440202076397993, 3.5836105493570134, 4.304491408542799, 4.455185913486872, 7.298554480562561, 3.7160421755421313, 3.431608652953572, 3.33321468996636, 4.114062163427974, 6.493701070018326, 3.8840685343720494, 3.9603767756427275, 7.160621217194583, 5.129899664872845, 4.934441941087827, 5.20172653212258, 4.640565166476093, 7.210166824802069]",1.0
CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.5056075532280175, 5.515667372393602, 3.831571472304422, 7.129571159265765, 3.752174729493032, 4.396631247075655, 3.305732122348669, 4.429902725854533, 4.158254875093397, 7.284808412167116, 3.1036471131756382, 7.819046756891071, 5.367695682904486, 4.170896096255565, 3.366370052959096, 4.7415799351249674, 4.376703238281868, 3.983401280401108, 6.409574571694847, 3.726061933265143, 4.370987914124958, 3.2099444072757413, 4.263065023874736, 3.041697569672953, 3.6709832731341674, 4.773820647223749, 3.946931463152896, 6.352163740756341, 3.2869455306208595, 5.121965811484595, 6.067484152076268, 4.039837137317589, 3.1730097654063, 3.416206628391254, 4.1663217234944865, 4.102608457312035, 7.295183128709992, 3.5238122181392653, 3.161175045524751, 3.1124293572722026, 3.8968503356053956, 6.460119605854919, 3.7165677879518335, 3.653393982410768, 7.147510272589521, 5.06006675313952, 4.493871057752791, 4.73866096320074, 4.221834638545472, 7.139653277805891]",1.0
CCCc1c(Oc2ccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.377178348693629, 5.347950951140895, 3.7304522799918236, 6.979537099999154, 3.651746544694231, 4.336380465743852, 3.2506263060011182, 4.367647321435715, 4.099739194605362, 7.114556685215609, 3.050154186606087, 7.631306507822093, 5.219794314411014, 4.098859710886336, 3.3154604941860564, 4.602956153818447, 4.317052659085505, 3.927484965091671, 6.208969331339243, 3.666462999469822, 4.3096148194048345, 3.159088502244466, 4.146764508652788, 2.987057313954452, 3.5757248170298035, 4.6324894288849805, 3.8338797503146695, 6.152368929219879, 3.241462078864194, 5.047034489884648, 5.915718321478382, 3.9827736651127834, 3.113663597570841, 3.331065892061496, 4.051266458229333, 4.045356766135283, 7.106634568690616, 3.436580158510477, 3.1048710364977206, 3.047853693436796, 3.82363265886762, 6.29661862923579, 3.6199798800087595, 3.598136734076624, 6.977800220375309, 4.923230384027965, 4.431908158138018, 4.675402174492586, 4.162858697636297, 6.974847146724912]",1.0
CCCc1c(Oc2ccc(cc2)C(=O)CN2C(=O)NC(C)(C2=O)c2ccc(OC(C)C)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.5385793259138785, 5.442393334785706, 3.9229332333961233, 7.103337593874651, 3.8291454031666636, 4.606650784928667, 3.520981525573727, 4.648319918060281, 4.3835519881666425, 7.221364417886622, 3.2525663029395417, 7.713490665406912, 5.3250267567109, 4.291071876225676, 3.5509477513612104, 4.745257814253073, 4.613632695396495, 4.197822756807756, 6.279101358458744, 3.959709386933225, 4.632904632329115, 3.4243565517236094, 4.3238073927616965, 3.2290093732458853, 3.778618656121613, 4.7685353457176465, 4.0074148879233675, 6.229447822762381, 3.499949506910376, 5.26963691480709, 6.016263484205758, 4.260894124734751, 3.3585687418932935, 3.5133339408472724, 4.231959448159906, 4.291382486048985, 7.209098060775856, 3.64143668374223, 3.3551151694100296, 3.265970215292897, 4.021503676883191, 6.406847179005311, 3.8124721869483595, 3.8478724750674433, 7.074770568704, 5.049866063504804, 4.764923752963206, 4.992531533521796, 4.4810850754484415, 7.094539158293177]",1.0
CCCc1c(Oc2cccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F,"[4.349262049068425, 5.2536987726844515, 3.7310292962529523, 6.930621488052579, 3.649719838299924, 4.400347365408753, 3.289521770473505, 4.4319643572103615, 4.1618289904792745, 7.035733862188572, 3.0804617249053576, 7.518485247044778, 5.1628139030236975, 4.1295155147830815, 3.3547143663654464, 4.560136540930432, 4.382907804346773, 3.984063693250986, 6.051661272478455, 3.720803330226186, 4.375561216001331, 3.1980415062535856, 4.128233287480252, 3.0241777544137336, 3.584772440074226, 4.584513775986326, 3.826643082612057, 6.005938967093718, 3.2800889733034047, 5.089725660211752, 5.851253462626907, 4.040971681763238, 3.1516148489982116, 3.339771522041863, 4.03909955730956, 4.0996426475065375, 7.013376409838608, 3.4493442667766447, 3.146162082721004, 3.0758873527834507, 3.85167936968773, 6.227866671434445, 3.6226474438138654, 3.6431184891700483, 6.895645970292152, 4.8788576805130575, 4.502333732501399, 4.747987134334881, 4.229374069680606, 6.916377755301398]",1.0
CCCc1c2COC(c2ccc1OCCCCN1C(=O)N(C)C(C)(C)C1=O)(C(F)(F)F)C(F)(F)F,"[2.8065474558572796, 3.278560440436729, 2.5621970792175497, 6.814899861175207, 2.4643724850218964, 3.949872449478799, 2.5836724584324715, 4.05928226457869, 3.535731373494418, 5.757932102412171, 2.259991155540801, 7.703165004706964, 3.400985384404186, 3.248027847310996, 2.6991873921391667, 2.880093261862685, 3.8346913736440826, 3.3630622076902355, 3.7659464354565593, 3.0506970208791415, 3.7541918158712133, 2.514733322085029, 2.72430296608789, 2.3036599435702194, 2.5267713007318298, 2.8931105183726045, 2.5743834802883105, 3.7552170716733633, 2.6132080759306224, 4.753679252294542, 4.326954211390376, 3.3884377356808737, 2.402497614638767, 2.3242392992547667, 2.680045000443718, 3.5440153213120733, 5.17790393740739, 2.4158301665301054, 2.4100364934698515, 2.242401548962376, 2.848617993464003, 4.616842685735068, 2.4861379202432734, 3.0020473572573163, 5.860398030393505, 3.168553573977915, 3.9689135411964998, 4.362615795675354, 3.6376795199295056, 5.703659452391611]",1.0
